timeJ,axJ,ayJ,azJ,aTJ
2.574,0.1306,-0.1267,0.1443,0.232
2.579,0.0996,-0.0576,0.0955,0.149
2.584,0.0594,0.0047,-0.0146,0.061
2.593,0.022,0.0464,-0.138,0.147
2.593,-0.0007,0.0659,-0.2794,0.287
2.6,-0.0226,0.1067,-0.3482,0.365
2.603,-0.0862,0.15,-0.3761,0.414
2.607,-0.0135,0.1746,-0.3206,0.365
2.612,0.0355,0.1474,-0.2108,0.26
2.617,0.0512,0.1253,-0.1374,0.193
2.622,0.0835,0.0935,-0.119,0.173
2.627,0.2368,0.0067,-0.167,0.29
2.632,0.3281,-0.0661,-0.2619,0.425
2.637,0.3602,-0.075,-0.3651,0.518
2.642,0.4079,-0.1296,-0.4696,0.635
2.647,0.4794,-0.1592,-0.5864,0.774
2.652,0.5197,-0.137,-0.7838,0.95
2.656,0.4844,0.0331,-1.04,1.148
2.661,0.5604,0.0645,-1.2474,1.369
2.666,0.5691,0.0628,-1.3603,1.476
2.671,0.5504,0.0402,-1.4265,1.53
2.676,0.4728,-0.0271,-1.4819,1.556
2.681,0.4459,-0.082,-1.5217,1.588
2.686,0.4073,-0.1271,-1.4356,1.498
2.69,0.3153,-0.1916,-1.1882,1.244
2.695,0.2429,-0.2832,-0.985,1.053
2.7,0.2081,-0.3211,-0.7234,0.818
2.705,0.3403,-0.4113,-0.3387,0.632
2.709,0.5272,-0.366,0.1853,0.668
2.714,0.624,-0.5698,0.3942,0.932
2.719,0.8074,-0.8529,0.2313,1.197
2.724,1.0316,-1.0496,0.0017,1.472
2.729,1.2253,-1.1939,-0.0553,1.712
2.734,1.271,-1.2947,-0.0114,1.814
2.739,1.1895,-1.3544,0.1809,1.812
